model,task,signal,target,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,spearman_r,spearman_ci_low,spearman_ci_high,spearman_p,ordered_logit_coef,ordered_logit_p
14B,gsm8k,min,thought_gap_sign,40,-0.0869,-0.4586,0.3216,0.5939,-0.0441,-0.3957,0.3141,0.787,-0.3486,0.5841
32B,gsm8k,head,direct_em,38,-0.03,-0.2485,0.173,0.8582,-0.0494,-0.3108,0.2144,0.7685,,
32B,gsm8k,head,thought_gap_sign,38,-0.0274,-0.3676,0.3022,0.8703,-0.0928,-0.4207,0.2446,0.5795,-0.0683,0.8909
32B,gsm8k,min,direct_em,40,-0.0885,-0.3494,0.1552,0.5873,-0.0428,-0.3182,0.2212,0.7934,,
32B,gsm8k,min,thought_gap_sign,40,0.0943,-0.2129,0.3783,0.5629,0.0963,-0.2377,0.3996,0.5544,0.2246,0.6522
V3,gsm8k,head,direct_em,38,0.0575,-0.3113,0.3996,0.7315,0.0712,-0.2831,0.404,0.6709,,
V3,gsm8k,head,thought_gap_sign,38,-0.3262,-0.534,-0.1524,0.0457,-0.3427,-0.5339,-0.1726,0.0352,-2.3598,0.0729
V3,gsm8k,min,direct_em,40,0.0149,-0.3049,0.3433,0.9272,0.0379,-0.3008,0.3623,0.8164,,
V3,gsm8k,min,thought_gap_sign,40,-0.1732,-0.3674,0.0055,0.2853,-0.1768,-0.3776,0.0486,0.2751,-1.1631,0.2831
14B,math_hard,head,direct_em,0,,,,,,,,,,
14B,math_hard,head,thought_gap_sign,0,,,,,,,,,,
14B,math_hard,min,direct_em,0,,,,,,,,,,
14B,math_hard,min,thought_gap_sign,0,,,,,,,,,,
32B,math_hard,head,direct_em,0,,,,,,,,,,
32B,math_hard,head,thought_gap_sign,0,,,,,,,,,,
32B,math_hard,min,direct_em,0,,,,,,,,,,
32B,math_hard,min,thought_gap_sign,0,,,,,,,,,,
V3,math_hard,head,direct_em,0,,,,,,,,,,
V3,math_hard,head,thought_gap_sign,0,,,,,,,,,,
V3,math_hard,min,direct_em,0,,,,,,,,,,
V3,math_hard,min,thought_gap_sign,0,,,,,,,,,,
